nature_id,nature_frlabel,count
http://www.wikidata.org/entity/Q3623867,arrondissement du Bénin,490
http://www.wikidata.org/entity/Q486972,zone peuplée,145
http://www.wikidata.org/entity/Q7278,parti politique,93
http://www.wikidata.org/entity/Q1780506,commune du Bénin,78
http://www.wikidata.org/entity/Q4022,rivière,18
http://www.wikidata.org/entity/Q476028,club de football,14
http://www.wikidata.org/entity/Q6138528,coalition politique,14
http://www.wikidata.org/entity/Q792929,département du Bénin,12
http://www.wikidata.org/entity/Q1248784,aéroport,9
http://www.wikidata.org/entity/Q133346,frontière,4
http://www.wikidata.org/entity/Q33506,musée,4
http://www.wikidata.org/entity/Q13406463,liste d'un projet Wikimédia,4
http://www.wikidata.org/entity/Q15104814,frontière terrestre,4
http://www.wikidata.org/entity/Q1154710,stade de football,3
http://www.wikidata.org/entity/Q17372500,flotte d'avions,3
http://www.wikidata.org/entity/Q2977,cathédrale,2
http://www.wikidata.org/entity/Q193622,décoration,2
http://www.wikidata.org/entity/Q388602,alliance électorale,2
http://www.wikidata.org/entity/Q46169,parc national,2
http://www.wikidata.org/entity/Q50686,Parti unique,2
http://www.wikidata.org/entity/Q3146899,diocèse catholique,2
http://www.wikidata.org/entity/Q532,village,2
http://www.wikidata.org/entity/Q3089219,frontière maritime,2
http://www.wikidata.org/entity/Q27686,hôtel,2
http://www.wikidata.org/entity/Q618123,entité spatiale,2
http://www.wikidata.org/entity/Q483110,stade,2
http://www.wikidata.org/entity/Q515,ville,1
http://www.wikidata.org/entity/Q3957,bourg,1
http://www.wikidata.org/entity/Q8502,montagne,1
http://www.wikidata.org/entity/Q34442,route,1
http://www.wikidata.org/entity/Q8142,devise,1
http://www.wikidata.org/entity/Q4508,marine de guerre,1
http://www.wikidata.org/entity/Q23397,lac,1
http://www.wikidata.org/entity/Q618779,distinction,1
http://www.wikidata.org/entity/Q46831,chaîne de montagnes,1
http://www.wikidata.org/entity/Q7755,constitution,1
http://www.wikidata.org/entity/Q772547,forces armées,1
http://www.wikidata.org/entity/Q16560,palais,1
http://www.wikidata.org/entity/Q120560,basilique mineure,1
http://www.wikidata.org/entity/Q166620,bassin versant,1
http://www.wikidata.org/entity/Q6256,pays,1
http://www.wikidata.org/entity/Q6979593,équipe nationale de football,1
http://www.wikidata.org/entity/Q220505,festival de cinéma,1
http://www.wikidata.org/entity/Q18340514,article wikipedia chronologique,1
http://www.wikidata.org/entity/Q17524420,aspect de l'histoire,1
http://www.wikidata.org/entity/Q15991303,ligue de football,1
http://www.wikidata.org/entity/Q636088,musée ethnographique,1
http://www.wikidata.org/entity/Q34770,langue,1
http://www.wikidata.org/entity/Q35509,grotte,1
http://www.wikidata.org/entity/Q160016,État membre de l'Organisation des Nations unies,1
http://www.wikidata.org/entity/Q42032,domaine de premier niveau national,1
http://www.wikidata.org/entity/Q1968435,Cuisine nationale,1
http://www.wikidata.org/entity/Q858439,élection présidentielle,1
http://www.wikidata.org/entity/Q3624078,État souverain,1
http://www.wikidata.org/entity/Q15135589,lieu de pèlerinage,1
http://www.wikidata.org/entity/Q37726,armée de terre,1
http://www.wikidata.org/entity/Q43229,organisation,1
http://www.wikidata.org/entity/Q61883,force aérienne,1
http://www.wikidata.org/entity/Q204310,gendarmerie,1
http://www.wikidata.org/entity/Q3918,université,1
http://www.wikidata.org/entity/Q968159,mouvement artistique,1
http://www.wikidata.org/entity/Q756820,culte,1
http://www.wikidata.org/entity/Q4167836,page de catégorie d'un projet Wikimedia,1
http://www.wikidata.org/entity/Q15494038,organisation d'espéranto,1
http://www.wikidata.org/entity/Q15221623,relation bilatérale,1
http://www.wikidata.org/entity/Q383550,ministère des Affaires étrangères,1
